DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
202008,7.39,5.70,9.48,5.94,4.92,3.92
202009,-4.97,-2.34,-0.97,-6.88,-1.82,-1.16
202010,-4.06,-3.71,-2.90,-4.48,-5.39,-4.31
202011,30.23,13.46,13.52,29.93,12.93,9.86
202012,8.45,8.09,11.78,5.06,4.84,5.99
202101,-0.76,0.51,2.15,-2.24,-1.70,-0.38
202102,7.27,3.11,3.20,6.56,0.37,1.58
202103,3.05,2.57,0.72,3.25,4.09,2.27
202104,4.96,6.22,8.19,4.82,5.56,4.92
202105,3.28,4.52,3.82,3.96,4.85,4.99
202106,-2.94,-3.06,-2.01,0.34,-2.61,-2.41
202107,0.52,2.80,3.28,1.25,1.88,3.64
202108,1.85,3.73,3.11,1.76,1.32,0.62
202109,-4.08,-4.32,-6.08,-6.49,-3.36,-5.67
202110,0.55,2.54,3.95,3.36,4.68,5.42
202111,-5.66,-5.16,-5.22,-4.15,-3.20,-5.51
202112,3.48,4.50,5.15,4.88,6.78,3.28
202201,-5.54,-5.03,-8.89,-2.02,-3.97,-8.85
202202,-4.48,-3.27,-3.19,-3.44,-3.00,-4.76
202203,-0.63,0.26,1.42,-4.69,-0.25,1.57
202204,-8.43,-5.28,-7.05,-7.20,-6.05,-4.51
202205,0.82,1.43,0.47,3.28,1.44,0.35
202206,-14.76,-10.04,-10.59,-12.00,-10.74,-8.24
202207,6.09,4.11,5.14,6.61,7.27,1.83
202208,-9.59,-6.01,-2.81,-9.95,-6.65,-4.17
202209,-14.88,-12.80,-10.25,-12.35,-8.08,-8.90
202210,6.78,5.69,6.57,8.57,7.16,6.16
202211,14.20,9.83,8.67,15.51,14.68,10.46
202212,-1.11,1.73,2.16,-2.13,-1.32,0.33
202301,10.64,6.05,5.02,11.02,9.91,6.12
202302,-2.73,-0.39,0.54,-0.90,-1.12,-1.06
202303,-1.89,-0.50,-0.25,2.37,4.58,1.16
202304,3.10,3.57,1.77,3.73,3.76,4.25
202305,-6.36,-4.04,-2.23,-5.54,-5.76,-4.66
202306,1.76,2.64,3.24,3.40,4.23,5.90
202307,4.48,2.72,3.08,5.35,2.61,1.60
202308,-4.92,-3.86,-4.13,-5.36,-3.73,-3.76
202309,-6.48,-5.49,-5.37,-4.82,-2.87,-5.85
202310,-6.92,-4.92,-5.28,-4.04,-3.85,-3.15
202311,10.39,9.12,9.93,8.58,8.81,11.86
202312,11.04,7.19,6.55,6.53,5.94,3.38
202401,-4.56,-1.63,-0.29,-2.20,-0.75,0.07
202402,-2.20,-0.58,0.89,0.62,1.09,4.23
202403,2.72,3.19,2.89,3.64,3.32,4.23
202404,-1.71,-0.52,-0.54,-0.85,-1.69,-3.85
202405,8.27,6.61,7.54,4.00,4.86,6.59
202406,-6.36,-3.99,-2.88,-3.96,-2.25,-2.20
202407,3.37,4.22,4.73,2.83,2.33,0.54
202408,0.31,2.47,1.49,3.39,4.05,3.67
202409,0.10,1.32,0.73,1.52,1.06,-0.00
202410,-6.48,-5.19,-6.37,-8.12,-4.75,-4.59
202411,-4.04,-1.77,-1.61,-4.23,-1.32,-0.65
202412,-0.62,-1.13,-0.81,-1.13,-3.04,-2.06
202501,3.23,2.85,2.42,5.38,6.83,7.44
202502,0.09,1.66,1.20,2.18,3.35,4.22
202503,0.87,2.17,2.17,-3.28,2.18,1.13
202504,5.15,6.17,6.72,1.99,4.64,5.91
202505,6.82,5.43,6.57,4.21,4.58,5.99
202506,5.26,5.20,5.36,2.76,2.61,3.33
202507,-1.83,-1.56,-0.86,-3.67,-2.92,-0.42
202508,2.69,3.07,2.70,5.15,2.42,3.18
