DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201811,2033,1334,1088,231,311,227
201812,2090,1271,1118,225,305,224
201901,2041,1307,1118,230,307,224
201902,2027,1306,1127,230,304,223
201903,2252,1247,962,228,303,221
201904,2349,1237,906,222,301,218
201905,2249,1308,916,223,301,219
201906,2418,1139,918,223,302,221
201907,2127,1428,963,220,297,218
201908,2322,1259,951,218,297,215
201909,2281,1310,936,216,296,214
201910,2256,1393,881,217,292,212
201911,2462,1136,925,219,290,213
201912,2560,1070,892,217,292,215
202001,2684,894,962,220,297,216
202002,2518,1002,992,218,302,215
202003,2328,1051,1131,222,293,215
202004,2163,1135,1228,208,275,202
202005,2087,1306,1141,216,289,210
202006,2102,1333,1074,214,292,209
202007,2034,1405,1070,211,287,208
202008,2087,1385,1086,215,295,212
202009,1883,1545,1106,218,299,215
202010,1842,1504,1178,217,298,216
202011,1775,1535,1211,226,300,220
202012,1608,1556,1372,223,305,221
202101,1914,1330,1288,230,315,228
202102,1886,1338,1308,233,320,230
202103,1753,1224,1533,240,323,235
202104,1647,1188,1678,238,320,233
202105,1823,1139,1503,238,325,234
202106,1668,1199,1593,237,319,233
202107,1641,1322,1527,235,319,233
202108,1812,1143,1509,240,320,233
202109,1912,1058,1463,241,323,234
202110,1860,1085,1495,244,321,235
202111,1853,1129,1507,239,317,232
202112,1881,1187,1453,236,319,230
202201,2022,1188,1349,234,314,229
202202,2329,1002,1217,230,310,226
202203,2448,927,1191,239,308,226
202204,2302,1139,1153,230,314,228
202205,2288,1253,1106,227,310,225
202206,2164,1381,1104,229,304,226
202207,2284,1365,1079,223,303,221
202208,2121,1349,1299,224,300,221
202209,2330,1392,1043,223,303,220
202210,2229,1456,1081,218,291,214
202211,2237,1387,1177,214,290,212
202212,2379,1478,986,215,286,209
202301,2492,1443,1000,215,285,211
202302,2513,1387,1038,213,287,208
202303,2816,1284,818,214,285,209
202304,2914,1217,818,208,272,202
202305,3044,1193,707,206,274,201
202306,3012,1159,735,206,273,201
202307,3184,1017,715,202,270,197
202308,2942,1222,732,204,271,199
202309,3257,936,671,206,273,200
202310,3147,983,720,204,269,197
202311,2951,1081,788,195,262,192
202312,2814,1124,970,195,265,193
202401,3092,1024,759,200,270,197
202402,2957,1077,835,196,263,193
202403,2923,1051,863,195,257,188
202404,2817,1215,806,192,252,187
202405,2919,1100,775,196,259,189
202406,2877,1099,800,195,258,192
202407,2880,1027,897,191,260,189
202408,2639,1245,895,192,260,191
202409,2888,945,917,189,251,187
202410,2871,965,895,187,250,185
202411,2886,871,933,185,246,183
202412,2618,1055,1010,180,245,180
202501,2671,1139,842,185,246,183
202502,2646,1148,881,179,238,177
202503,2780,979,901,178,235,173
202504,2605,1105,930,180,239,176
202505,2483,1248,889,181,238,178
202506,2434,1426,759,183,243,179
202507,2603,1202,791,183,244,180
202508,2375,1296,898,183,245,181
