DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199506,32.01,41.50,37.80,41.28,40.54,174.31,180.08,183.09,185.73,169.69,397.97,410.61,399.28,376.67,413.18,918.57,939.98,984.48,982.70,933.65,3570.50,5694.23,5824.25,6938.64,6827.89
199507,32.64,40.40,40.32,43.94,42.12,177.60,175.00,202.84,172.40,171.12,408.35,398.03,391.97,385.54,417.12,953.71,962.64,998.93,1005.89,936.89,3462.52,5277.88,6106.45,7378.24,6519.79
199508,32.36,43.19,42.03,43.67,44.53,183.44,187.64,187.91,211.44,179.90,414.04,417.59,436.56,417.82,421.86,991.29,995.46,1027.15,1016.58,995.39,4165.01,5474.47,6871.45,6725.77,7553.48
199509,32.17,40.91,41.94,41.45,42.74,175.89,178.21,178.63,199.25,175.55,390.90,405.05,389.81,392.38,417.39,950.48,968.60,990.50,927.16,993.99,3959.45,5692.81,6384.57,7743.26,6099.71
199510,33.29,42.74,40.28,48.01,41.59,180.00,184.33,202.88,180.59,179.38,406.44,411.00,411.07,421.52,431.07,999.06,929.50,1017.71,974.74,1036.33,3842.11,5894.20,6906.17,7141.02,6971.45
199511,33.09,39.66,42.14,45.54,42.10,176.94,182.82,197.06,182.32,181.86,401.90,391.56,418.36,412.76,430.16,1027.31,968.91,959.46,959.29,1003.53,4405.91,5711.04,6517.83,6847.23,8018.62
199512,31.63,39.76,40.65,44.65,41.16,178.11,177.33,188.78,178.51,177.80,413.65,388.20,414.73,401.20,425.15,1015.49,976.55,977.36,1025.22,1043.02,3736.63,6149.21,7183.63,6910.68,8256.35
199601,33.63,41.72,40.23,43.72,42.64,184.88,180.41,193.97,187.21,188.95,421.54,421.52,423.31,422.12,435.10,1061.58,1059.43,1008.07,1049.90,1096.77,3598.21,6351.87,6395.67,9008.99,7903.03
199602,34.26,42.15,41.34,46.31,42.63,188.18,199.95,186.16,200.65,194.00,448.67,438.17,429.70,428.61,446.25,1055.38,1092.71,1116.59,1127.14,1115.20,4595.83,5491.37,6956.39,8688.03,8220.77
199603,34.75,43.21,45.86,45.52,44.07,188.63,200.55,201.38,202.82,198.39,446.07,449.37,440.55,463.39,466.91,1109.26,1090.87,1079.39,1093.34,1159.33,4564.27,4363.10,7759.45,9005.78,7420.86
199604,35.33,44.77,46.39,44.76,43.66,197.87,190.49,200.36,200.08,206.15,442.80,439.39,432.16,465.20,470.74,1112.75,1126.85,1077.42,1031.78,1190.07,5775.68,5273.42,8303.43,8282.55,6302.19
