TIME_PERIOD,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2020-07-31,1.3125543515861862,-1.8245543515804588,7.804597929490657,-10.844761363185915,2.4252762252793967,2.8208049384334384
2020-08-03,1.2644934350080406,-1.7884934349778439,7.918206894308106,-10.706236624791075,2.5032143764751007,2.8239763978262706
2020-08-04,1.3186621425771192,-1.8486621425848262,7.79407617275129,-10.763505983041014,2.792777401421215,3.196948567106566
2020-08-05,1.3736579849475758,-1.891657984915126,7.826134678589632,-10.726455823056323,2.9957278068328885,3.3649614684037368
2020-08-06,1.327563285789136,-1.8505632858071654,7.808553308926063,-10.747281791134238,2.8849117683275547,3.275031928387524
2020-08-07,1.404691182585853,-1.9226911825615982,7.74673647813419,-10.808346529391999,2.995188515080771,3.403581777559164
2020-08-10,1.3937951577757437,-1.9117951576906997,7.74046102494197,-10.814875729558102,2.994206375193474,3.4099903849023216
2020-08-11,1.3559174846227222,-1.8729174846178793,7.828481191989014,-10.722178894406602,2.9110386568718503,3.2727375373686463
2020-08-12,1.3685544981949678,-1.8815544981997836,7.822717572576647,-10.727711100759496,2.9099547185295433,3.266442963070013
2020-08-13,1.432185550313971,-1.9331855503655502,7.873662558601987,-10.673368528931231,3.077203938082381,3.398025202734463
2020-08-14,1.4142564411139993,-1.9212564411055066,7.869001538528807,-10.678639344376737,3.0045860308675323,3.3272960154894853
2020-08-17,1.3614921056195963,-1.8684921056208406,7.83244122405799,-10.715977679297056,2.8218413297970644,3.130489305317089
2020-08-18,1.2925703254623033,-1.8075703254626379,7.837671196671642,-10.711786020380249,2.628720396917142,2.936767871765347
2020-08-19,1.281787557374512,-1.7967866418546234,7.81912955867122,-10.730655995603756,2.631237140739623,2.946396353638527
2020-08-20,1.2379189035722882,-1.747417896548043,7.8279750694081365,-10.72127505296316,2.6449636939602943,2.953447724012195
2020-08-21,1.2738272701872517,-1.7828272701870522,7.8058569624044205,-10.743029382779927,2.643498545839339,2.9670532311343893
2020-08-24,1.1371382684740123,-1.6471382684995153,7.878423553632953,-10.666146474180772,2.3152671460935283,2.607435137414641
2020-08-25,1.2601002022236665,-1.7621002022394088,7.861055080763539,-10.659217762083946,2.505658514529451,2.7896982400589927
2020-08-26,1.2608581251233928,-1.7758581251274086,7.853575828158755,-10.667813367900363,2.402448699308473,2.7074104593253865
2020-08-27,1.293411415047431,-1.8174114150432072,7.951591095692304,-10.55719574822169,2.7937020216035413,3.0345318956100162
2020-08-28,1.3779613302191864,-1.9137654184423432,7.945139366973874,-10.561171495229724,3.06055406351783,3.3042784450986242
2020-08-31,1.382859238349687,-1.917273533263146,7.974634226473356,-10.530747532122687,3.065635642244916,3.2971586791505123
2020-09-01,1.3828117468149543,-1.919434882113215,7.962564643427433,-10.542682377902006,3.0658880533049455,3.2923146338028575
2020-09-02,1.3459659356998157,-1.8764085117281104,7.916027516276037,-10.530115252824675,3.2812722500575515,3.5114056633683375
2020-09-03,1.2895919611818165,-1.8326429059879812,7.8817892829384215,-10.555772540658698,3.044921118547057,3.332437548732638
2020-09-04,1.3453622627261703,-1.9067261248726115,7.878845979919025,-10.558495781832068,3.032582025414177,3.3483527897424117
