TIME_PERIOD,Portfolio,Portfolio strategy,Weight
2011-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2304585529630311
2011-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.23052557600807821
2011-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.23023154436415136
2011-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.22889015704687682
2011-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.22844974814698268
2011-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.226707549757915
2011-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.22686745422580068
2011-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.23073183115219614
2011-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.23492668542797762
2011-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.25787642816583295
2011-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.25719762641668076
2012-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.25737008513803966
2012-02-29,"{""Small Cap"",""EU""}",Risk Parity,0.25324041713515993
2012-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.24722204159994393
2012-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.24696837996546567
2012-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2682547378493491
2012-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2691393362092687
2012-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2704220809277944
2012-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.2676083539317155
2012-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.274109725525456
2012-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.275575233616418
2012-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.27300334783748403
2012-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.27372080526911635
2013-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.26674518171124423
2013-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2634097642751439
2013-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.26233625323893883
2013-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.25925352555802644
2013-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2581113940934248
2013-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.26062739807897256
2013-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.25936979726010195
2013-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.261528553681073
2013-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.2610716787159876
2013-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.25987728636985286
2013-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.26035854856693685
2013-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2573246030581753
2014-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.2624472048492579
2014-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.26089045786394216
2014-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.2593178013616368
2014-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.25956327285118114
2014-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.25989937183523276
2014-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2600023807837642
2014-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.26361809382598955
2014-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.26371167822835817
2014-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.26047012336419945
2014-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2622212277312129
2014-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.24651067016139278
2014-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2543481400582046
2015-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.2556949097357482
2015-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.27012650678733285
2015-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.26495472191628533
2015-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.2658856760004146
2015-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.27064510452032386
2015-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2880598965823456
2015-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2853953279081916
2015-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.2860933614227065
2015-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.29234693862507677
2015-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2918452806880706
2015-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2946587740033989
2015-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2971225739812349
2016-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.30413644754733205
2016-02-29,"{""Small Cap"",""EU""}",Risk Parity,0.297299019854307
2016-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.29742447137445993
2016-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.2931750685585624
2016-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2923476863828848
2016-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2923495450531025
2016-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.27788995998818405
2016-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.27236567660694566
2016-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.27155622127831375
2016-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2725111623397293
2016-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.27293090259852154
2016-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2780437967985282
2017-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.2766399755586407
2017-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2765112962428751
2017-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.2764392930663999
2017-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.27658094250905224
2017-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2743524410374873
2017-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.27486112663082246
2017-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.27486576440413063
2017-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.2759334264481546
2017-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.275045252356528
2017-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2772761575384986
2017-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.280593172099026
2017-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.27955986291650137
2018-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.27911762936160933
2018-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2742093810948325
2018-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.2806100499240299
2018-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.2779407682733112
2018-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2786616072971753
2018-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2812245433811318
2018-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2793859125797388
2018-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.27715070267008207
2018-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.2683615580897631
2018-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.26830963167372185
2018-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2583950320058982
2018-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.2558391449312647
2019-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.25219797149192635
2019-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2540088105524802
2019-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.25504841768053627
2019-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.26122189259037965
2019-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.2590620862673558
2019-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2590706403271202
2019-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2757394257801108
2019-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.2788526090851057
2019-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.2785434713086904
2019-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.27812203829190557
2019-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.27720672968163845
2019-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.26860681131092323
2020-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.2670980178677224
2020-02-29,"{""Small Cap"",""EU""}",Risk Parity,0.26803569106172415
2020-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.2656606726791433
2020-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.23554849374939407
2020-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.23182619225697348
2020-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.23201639781925054
2020-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2322399488629454
2020-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.23247718853498367
2020-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.23001169445898087
2020-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.22945602505753246
2020-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2306713449510575
2020-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.22331016790954494
2021-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.22153633698627678
2021-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.2216390789250253
2021-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.22034869592664075
2021-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.22177242284894338
2021-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.22038054422240105
2021-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.22029143435538398
2021-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.22025930869724294
2021-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.22080864452377372
2021-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.22030737623565522
2021-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2211701888530589
2021-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.21961724254698
2021-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.21895454873292344
2022-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.21733287490755226
2022-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.22068511122766338
2022-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.22146625412496515
2022-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.22010163760483542
2022-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.22046031543338904
2022-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.22007913440103563
2022-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.2169525643400313
2022-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.21824735215895416
2022-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.21773841969069205
2022-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.21527468728919877
2022-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.2164227500355657
2022-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.21797685038010262
2023-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.21980405458858032
2023-02-28,"{""Small Cap"",""EU""}",Risk Parity,0.22080026077522377
2023-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.21931400198817416
2023-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.22781753743645483
2023-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.23037895675824493
2023-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.2303072956205549
2023-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.23089016313161284
2023-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.23039892749952418
2023-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.23291242149571756
2023-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.23306109989158738
2023-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.23058160479807846
2023-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.24419703207206364
2024-01-31,"{""Small Cap"",""EU""}",Risk Parity,0.24499231081747413
2024-02-29,"{""Small Cap"",""EU""}",Risk Parity,0.2440916243278485
2024-03-31,"{""Small Cap"",""EU""}",Risk Parity,0.24580788584679641
2024-04-30,"{""Small Cap"",""EU""}",Risk Parity,0.24548849229007375
2024-05-31,"{""Small Cap"",""EU""}",Risk Parity,0.24877007310107346
2024-06-30,"{""Small Cap"",""EU""}",Risk Parity,0.24597393100846246
2024-07-31,"{""Small Cap"",""EU""}",Risk Parity,0.24451074428587508
2024-08-31,"{""Small Cap"",""EU""}",Risk Parity,0.24460503446376614
2024-09-30,"{""Small Cap"",""EU""}",Risk Parity,0.24626559063603592
2024-10-31,"{""Small Cap"",""EU""}",Risk Parity,0.2456183851145403
2024-11-30,"{""Small Cap"",""EU""}",Risk Parity,0.24388625690326723
2024-12-31,"{""Small Cap"",""EU""}",Risk Parity,0.24727583776692036
,"{""Small Cap"",""EU""}",Risk Parity,0.2484139018430447
2007-09-30,"{""Small Cap"",""US""}",Risk Parity,0.18560779562087149
2007-10-31,"{""Small Cap"",""US""}",Risk Parity,0.18630973458909372
2007-11-30,"{""Small Cap"",""US""}",Risk Parity,0.18703919682380116
2007-12-31,"{""Small Cap"",""US""}",Risk Parity,0.19422753144587412
2008-01-31,"{""Small Cap"",""US""}",Risk Parity,0.19662969799382882
2008-02-29,"{""Small Cap"",""US""}",Risk Parity,0.21454893690228335
2008-03-31,"{""Small Cap"",""US""}",Risk Parity,0.21026844491204236
2008-04-30,"{""Small Cap"",""US""}",Risk Parity,0.21208861115330205
2008-05-31,"{""Small Cap"",""US""}",Risk Parity,0.21505731588575522
2008-06-30,"{""Small Cap"",""US""}",Risk Parity,0.2268584109245402
2008-07-31,"{""Small Cap"",""US""}",Risk Parity,0.22863906984933632
2008-08-31,"{""Small Cap"",""US""}",Risk Parity,0.23246648448096563
2008-09-30,"{""Small Cap"",""US""}",Risk Parity,0.21914769619958221
2008-10-31,"{""Small Cap"",""US""}",Risk Parity,0.23772805589776586
2008-11-30,"{""Small Cap"",""US""}",Risk Parity,0.2405145975832313
2008-12-31,"{""Small Cap"",""US""}",Risk Parity,0.2375572522122306
2009-01-31,"{""Small Cap"",""US""}",Risk Parity,0.2361749180725022
2009-02-28,"{""Small Cap"",""US""}",Risk Parity,0.2369594104161544
2009-03-31,"{""Small Cap"",""US""}",Risk Parity,0.23242368658498017
2009-04-30,"{""Small Cap"",""US""}",Risk Parity,0.22782175073285904
2009-05-31,"{""Small Cap"",""US""}",Risk Parity,0.20856581300048666
2009-06-30,"{""Small Cap"",""US""}",Risk Parity,0.21122852604992756
2009-07-31,"{""Small Cap"",""US""}",Risk Parity,0.21083038592204323
2009-08-31,"{""Small Cap"",""US""}",Risk Parity,0.213049998031276
2009-09-30,"{""Small Cap"",""US""}",Risk Parity,0.2138770450094112
2009-10-31,"{""Small Cap"",""US""}",Risk Parity,0.2130528787812539
2009-11-30,"{""Small Cap"",""US""}",Risk Parity,0.210770337678852
2009-12-31,"{""Small Cap"",""US""}",Risk Parity,0.21080397943513515
2010-01-31,"{""Small Cap"",""US""}",Risk Parity,0.2025819367804953
2010-02-28,"{""Small Cap"",""US""}",Risk Parity,0.20274841053022136
2010-03-31,"{""Small Cap"",""US""}",Risk Parity,0.20049863498305368
2010-04-30,"{""Small Cap"",""US""}",Risk Parity,0.2028778277060906
2010-05-31,"{""Small Cap"",""US""}",Risk Parity,0.19969549432733535
2010-06-30,"{""Small Cap"",""US""}",Risk Parity,0.2007098642465093
2010-07-31,"{""Small Cap"",""US""}",Risk Parity,0.19857785536200906
2010-08-31,"{""Small Cap"",""US""}",Risk Parity,0.20276446693974423
2010-09-30,"{""Small Cap"",""US""}",Risk Parity,0.20175187678198678
2010-10-31,"{""Small Cap"",""US""}",Risk Parity,0.2020707569200346
2010-11-30,"{""Small Cap"",""US""}",Risk Parity,0.20153587550994148
2010-12-31,"{""Small Cap"",""US""}",Risk Parity,0.19991685065888815
2011-01-31,"{""Small Cap"",""US""}",Risk Parity,0.20223651975686321
2011-02-28,"{""Small Cap"",""US""}",Risk Parity,0.19779946860768033
2011-03-31,"{""Small Cap"",""US""}",Risk Parity,0.19952445444270625
2011-04-30,"{""Small Cap"",""US""}",Risk Parity,0.1997978797601516
2011-05-31,"{""Small Cap"",""US""}",Risk Parity,0.1980607482719087
2011-06-30,"{""Small Cap"",""US""}",Risk Parity,0.19809324610015502
2011-07-31,"{""Small Cap"",""US""}",Risk Parity,0.19919174147891527
2011-08-31,"{""Small Cap"",""US""}",Risk Parity,0.19811208074455555
2011-09-30,"{""Small Cap"",""US""}",Risk Parity,0.20678372401645637
2011-10-31,"{""Small Cap"",""US""}",Risk Parity,0.19925655507163156
2011-11-30,"{""Small Cap"",""US""}",Risk Parity,0.19249615744851684
2011-12-31,"{""Small Cap"",""US""}",Risk Parity,0.19581371605772596
2012-01-31,"{""Small Cap"",""US""}",Risk Parity,0.1954012489809588
2012-02-29,"{""Small Cap"",""US""}",Risk Parity,0.19596997983072784
2012-03-31,"{""Small Cap"",""US""}",Risk Parity,0.1993136556293002
2012-04-30,"{""Small Cap"",""US""}",Risk Parity,0.19981036084793255
2012-05-31,"{""Small Cap"",""US""}",Risk Parity,0.20877902074735477
2012-06-30,"{""Small Cap"",""US""}",Risk Parity,0.21069405179480882
2012-07-31,"{""Small Cap"",""US""}",Risk Parity,0.21155253775883615
2012-08-31,"{""Small Cap"",""US""}",Risk Parity,0.20955617193232828
2012-09-30,"{""Small Cap"",""US""}",Risk Parity,0.20660632485647412
2012-10-31,"{""Small Cap"",""US""}",Risk Parity,0.20630601741061533
2012-11-30,"{""Small Cap"",""US""}",Risk Parity,0.21182005096034684
2012-12-31,"{""Small Cap"",""US""}",Risk Parity,0.21211968568298142
2013-01-31,"{""Small Cap"",""US""}",Risk Parity,0.22374887446008684
2013-02-28,"{""Small Cap"",""US""}",Risk Parity,0.22320434200182207
2013-03-31,"{""Small Cap"",""US""}",Risk Parity,0.22643893651542424
2013-04-30,"{""Small Cap"",""US""}",Risk Parity,0.22031706726964295
2013-05-31,"{""Small Cap"",""US""}",Risk Parity,0.223749944512814
2013-06-30,"{""Small Cap"",""US""}",Risk Parity,0.2150221376358387
2013-07-31,"{""Small Cap"",""US""}",Risk Parity,0.23003410325878812
2013-08-31,"{""Small Cap"",""US""}",Risk Parity,0.2293376916928849
2013-09-30,"{""Small Cap"",""US""}",Risk Parity,0.2324013542970833
2013-10-31,"{""Small Cap"",""US""}",Risk Parity,0.2343580569965025
2013-11-30,"{""Small Cap"",""US""}",Risk Parity,0.23467222693803183
2013-12-31,"{""Small Cap"",""US""}",Risk Parity,0.24285440417037066
2014-01-31,"{""Small Cap"",""US""}",Risk Parity,0.23957609239332261
2014-02-28,"{""Small Cap"",""US""}",Risk Parity,0.24047662172728027
2014-03-31,"{""Small Cap"",""US""}",Risk Parity,0.2448117702244831
2014-04-30,"{""Small Cap"",""US""}",Risk Parity,0.2443709726837275
2014-05-31,"{""Small Cap"",""US""}",Risk Parity,0.24112704046564418
2014-06-30,"{""Small Cap"",""US""}",Risk Parity,0.24107960081635377
2014-07-31,"{""Small Cap"",""US""}",Risk Parity,0.23948973151131064
2014-08-31,"{""Small Cap"",""US""}",Risk Parity,0.23788057591032227
2014-09-30,"{""Small Cap"",""US""}",Risk Parity,0.22667589067525556
2014-10-31,"{""Small Cap"",""US""}",Risk Parity,0.2159127004805711
2014-11-30,"{""Small Cap"",""US""}",Risk Parity,0.2305772804628022
2014-12-31,"{""Small Cap"",""US""}",Risk Parity,0.2275200646026307
2015-01-31,"{""Small Cap"",""US""}",Risk Parity,0.22644914119759796
2015-02-28,"{""Small Cap"",""US""}",Risk Parity,0.2369766112038151
2015-03-31,"{""Small Cap"",""US""}",Risk Parity,0.2345252165283834
2015-04-30,"{""Small Cap"",""US""}",Risk Parity,0.2316052268572882
2015-05-31,"{""Small Cap"",""US""}",Risk Parity,0.22156912358187303
2015-06-30,"{""Small Cap"",""US""}",Risk Parity,0.20487185357395363
2015-07-31,"{""Small Cap"",""US""}",Risk Parity,0.2116361905937548
2015-08-31,"{""Small Cap"",""US""}",Risk Parity,0.212352358649325
2015-09-30,"{""Small Cap"",""US""}",Risk Parity,0.21645015699781583
2015-10-31,"{""Small Cap"",""US""}",Risk Parity,0.21247624383108565
2015-11-30,"{""Small Cap"",""US""}",Risk Parity,0.2154254806287224
2015-12-31,"{""Small Cap"",""US""}",Risk Parity,0.210011323580889
2016-01-31,"{""Small Cap"",""US""}",Risk Parity,0.2019814298391993
2016-02-29,"{""Small Cap"",""US""}",Risk Parity,0.19859537657348156
2016-03-31,"{""Small Cap"",""US""}",Risk Parity,0.20003886263157947
2016-04-30,"{""Small Cap"",""US""}",Risk Parity,0.2039384780066398
2016-05-31,"{""Small Cap"",""US""}",Risk Parity,0.20495390762696725
2016-06-30,"{""Small Cap"",""US""}",Risk Parity,0.2073056350722098
2016-07-31,"{""Small Cap"",""US""}",Risk Parity,0.2087689666268285
2016-08-31,"{""Small Cap"",""US""}",Risk Parity,0.2064244906657455
2016-09-30,"{""Small Cap"",""US""}",Risk Parity,0.20759323373431604
2016-10-31,"{""Small Cap"",""US""}",Risk Parity,0.2049216901837819
2016-11-30,"{""Small Cap"",""US""}",Risk Parity,0.20211732046949782
2016-12-31,"{""Small Cap"",""US""}",Risk Parity,0.18645112755581192
2017-01-31,"{""Small Cap"",""US""}",Risk Parity,0.1890773914180711
2017-02-28,"{""Small Cap"",""US""}",Risk Parity,0.18888155833671585
2017-03-31,"{""Small Cap"",""US""}",Risk Parity,0.18523208634653718
2017-04-30,"{""Small Cap"",""US""}",Risk Parity,0.18547289581245097
2017-05-31,"{""Small Cap"",""US""}",Risk Parity,0.18788762220417166
2017-06-30,"{""Small Cap"",""US""}",Risk Parity,0.1847406165153995
2017-07-31,"{""Small Cap"",""US""}",Risk Parity,0.18633930788243758
2017-08-31,"{""Small Cap"",""US""}",Risk Parity,0.18597835455418535
2017-09-30,"{""Small Cap"",""US""}",Risk Parity,0.18735911385823859
2017-10-31,"{""Small Cap"",""US""}",Risk Parity,0.1848218162445093
2017-11-30,"{""Small Cap"",""US""}",Risk Parity,0.1846154061827011
2017-12-31,"{""Small Cap"",""US""}",Risk Parity,0.1860892207751736
2018-01-31,"{""Small Cap"",""US""}",Risk Parity,0.1870422002574209
2018-02-28,"{""Small Cap"",""US""}",Risk Parity,0.17988576817824964
2018-03-31,"{""Small Cap"",""US""}",Risk Parity,0.17879699512910882
2018-04-30,"{""Small Cap"",""US""}",Risk Parity,0.18168946968357963
2018-05-31,"{""Small Cap"",""US""}",Risk Parity,0.18672711468814657
2018-06-30,"{""Small Cap"",""US""}",Risk Parity,0.18002577729471567
2018-07-31,"{""Small Cap"",""US""}",Risk Parity,0.17659015207629666
2018-08-31,"{""Small Cap"",""US""}",Risk Parity,0.17360764067542853
2018-09-30,"{""Small Cap"",""US""}",Risk Parity,0.1660810130315485
2018-10-31,"{""Small Cap"",""US""}",Risk Parity,0.16603847873856065
2018-11-30,"{""Small Cap"",""US""}",Risk Parity,0.1667876078894134
2018-12-31,"{""Small Cap"",""US""}",Risk Parity,0.17201923868410748
2019-01-31,"{""Small Cap"",""US""}",Risk Parity,0.1655185762497697
2019-02-28,"{""Small Cap"",""US""}",Risk Parity,0.16240319850682938
2019-03-31,"{""Small Cap"",""US""}",Risk Parity,0.16152681613977898
2019-04-30,"{""Small Cap"",""US""}",Risk Parity,0.16273412225401832
2019-05-31,"{""Small Cap"",""US""}",Risk Parity,0.1642650246328983
2019-06-30,"{""Small Cap"",""US""}",Risk Parity,0.16053505104117827
2019-07-31,"{""Small Cap"",""US""}",Risk Parity,0.1548201475291176
2019-08-31,"{""Small Cap"",""US""}",Risk Parity,0.153507202042889
2019-09-30,"{""Small Cap"",""US""}",Risk Parity,0.1517568764078906
2019-10-31,"{""Small Cap"",""US""}",Risk Parity,0.1521522672687733
2019-11-30,"{""Small Cap"",""US""}",Risk Parity,0.15241468156716462
2019-12-31,"{""Small Cap"",""US""}",Risk Parity,0.16671251564572467
2020-01-31,"{""Small Cap"",""US""}",Risk Parity,0.16419387209199296
2020-02-29,"{""Small Cap"",""US""}",Risk Parity,0.16358489367511056
2020-03-31,"{""Small Cap"",""US""}",Risk Parity,0.17257777593772583
2020-04-30,"{""Small Cap"",""US""}",Risk Parity,0.17277545091871768
