"CURRENCY","TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"EUR",2015-08-21,1.92006747065984,-2.0175033454811,43.4573900674656,-42.9217278314641,4.8845908260116,4.51313757647967
"EUR",2015-08-24,1.88676635399206,-1.97709951320031,43.4575980956663,-42.9196699326947,4.85627474406307,4.49325698924822
"EUR",2015-08-25,2.08521966380214,-2.17756450301238,43.4360666131054,-42.9202394744211,4.79065998086636,4.41533780842664
"EUR",2015-08-26,1.83922019764229,-1.93312432994996,43.8410005517758,-42.540444463666,5.09565668741926,4.64669146775373
"EUR",2015-08-27,2.15140747497128,-2.25244997228109,43.4029843964633,-42.953128419895,4.87540217147783,4.51215708400026
"EUR",2015-08-28,2.02942478430069,-2.13634751998959,43.510975163051,-42.8450038283847,4.96675720222707,4.5886866387535
"EUR",2015-08-31,2.16537947405615,-2.25257088553829,43.3226695980384,-43.0309733312663,4.77547711802722,4.42464147393068
"EUR",2015-09-01,2.21527132790802,-2.31696769732258,43.3884060354107,-42.967278487761,4.77516017499891,4.41414200485146
"EUR",2015-09-02,2.20004471868182,-2.29618883056989,43.3950285543196,-42.9606340731293,4.74450410411511,4.37785436055558
"EUR",2015-09-03,2.04098203668045,-2.13109929045933,43.5171625091774,-42.8374462045159,4.89743171175301,4.48500210606286
"EUR",2015-09-04,1.99777125773781,-2.08126709867929,43.4713048607099,-42.8833914132873,4.90120776147007,4.49095254558439
"EUR",2015-09-07,1.8996497235426,-1.97651608482636,43.6530067033244,-42.7021232180299,5.11796913441874,4.65984024204989
"EUR",2015-09-08,2.18885169683217,-2.26394321849303,43.2467210975752,-43.1050562799802,4.88370052849958,4.50135704799317
"EUR",2015-09-09,2.37244458911867,-2.43850453529432,42.9732539752063,-43.3756359882521,4.61387340251569,4.28071778962439
"EUR",2015-09-10,2.34030574313306,-2.39993685268054,42.9622319729167,-43.3862613514285,4.59927890229601,4.27129539861169
"EUR",2015-09-11,2.34061555431463,-2.39503353930485,42.9601745647271,-43.3882984679998,4.60740594308034,4.27971900819222
"EUR",2015-09-14,2.57653407943053,-2.63890801285806,42.6605503659916,-43.686405883755,4.4655906049302,4.19052909665697
"EUR",2015-09-15,2.59609086232857,-2.66353719709277,42.7020996406911,-43.6454052850313,4.43108197497152,4.15326676320722
"EUR",2015-09-16,2.60836227242725,-2.67137703018044,42.7202133370358,-43.6269259823733,4.39927860086652,4.11964372094207
"EUR",2015-09-17,2.65132488829724,-2.72001283703281,42.7145318228987,-43.6324012369753,4.42221792619856,4.15301273822116
"EUR",2015-09-18,2.48087911256429,-2.55467829000013,42.7333132971009,-43.6033512136698,4.56260559961239,4.29054166574309
"EUR",2015-09-21,2.52362048361751,-2.59406227507147,42.7534679120816,-43.5831489904753,4.58804742550413,4.30890427308261
"EUR",2015-09-22,2.51345892996476,-2.58651309896607,42.7093944407662,-43.6284820068026,4.6271913524587,4.35033955065873
"EUR",2015-09-23,2.4901482340715,-2.56438603063116,42.7111875488615,-43.6262907452531,4.60058402434636,4.32918811689033
"EUR",2015-09-24,2.42675638853263,-2.50327668061663,42.7167637445158,-43.6202196265281,4.5613257030649,4.29887553957194
"EUR",2015-09-25,2.47832879808166,-2.55279831919365,42.7818663414234,-43.5587282611412,4.57458642723448,4.29486107143608
