TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2010-12-31,"{""MOM"",""EU""}",0.1940117678694178,Global Minimum Variance portfolio,0.1851199212665166,2.442978160121374
2011-01-31,"{""MOM"",""EU""}",0.12701965904905604,Global Minimum Variance portfolio,0.12499076436615943,2.3167268467070725
2011-02-28,"{""MOM"",""EU""}",0.1098471306584289,Global Minimum Variance portfolio,0.06638766815187577,2.2570264450440836
2011-03-31,"{""MOM"",""EU""}",0.12347375724001088,Global Minimum Variance portfolio,0.12017517667254984,2.2831852856447608
2011-04-30,"{""MOM"",""EU""}",0.12038621287666362,Global Minimum Variance portfolio,0.16723026501481744,2.226071570826691
2011-05-31,"{""MOM"",""EU""}",0.12544090326552895,Global Minimum Variance portfolio,0.11094467358401679,2.130785046164962
2011-06-30,"{""MOM"",""EU""}",0.10870892049751595,Global Minimum Variance portfolio,0.024637399709316526,2.0736531214178795
2011-07-31,"{""MOM"",""EU""}",0.1052843185867388,Global Minimum Variance portfolio,0.029693412400332242,2.0332001512544515
2011-08-31,"{""MOM"",""EU""}",0.09664810158576949,Global Minimum Variance portfolio,-0.00013694915278548991,2.092588710682097
2011-09-30,"{""MOM"",""EU""}",0.08155642283304516,Global Minimum Variance portfolio,-0.04972237989785451,2.1894979931058747
2011-10-31,"{""MOM"",""EU""}",6.286154166231458e-18,Global Minimum Variance portfolio,0.029310148250521667,1.7228313235340549
2011-11-30,"{""MOM"",""EU""}",0.03946698461143886,Global Minimum Variance portfolio,0.1269452085334412,1.6241911785607084
2011-12-31,"{""MOM"",""EU""}",0.005795231933216075,Global Minimum Variance portfolio,0.19003059000904282,1.542265497457793
2012-01-31,"{""MOM"",""EU""}",0.05178337675193713,Global Minimum Variance portfolio,0.21318027304776235,1.4397584763588998
2012-02-29,"{""MOM"",""EU""}",0.06244647092506179,Global Minimum Variance portfolio,0.2116395090271624,1.4523807417292387
2012-03-31,"{""MOM"",""EU""}",0.07641300498495009,Global Minimum Variance portfolio,0.2650041619402821,1.1997838313334888
2012-04-30,"{""MOM"",""EU""}",0.04286087652529973,Global Minimum Variance portfolio,0.263033576901272,1.1639750668085782
2012-05-31,"{""MOM"",""EU""}",0.03489711015535565,Global Minimum Variance portfolio,0.2970988555508893,1.1440266422277996
2012-06-30,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.15779251225738572,1.1826043427240107
2012-07-31,"{""MOM"",""EU""}",7.224411724214596e-17,Global Minimum Variance portfolio,0.1767065360641385,1.1272178320209763
2012-08-31,"{""MOM"",""EU""}",1.3532512944614836e-17,Global Minimum Variance portfolio,0.16456270191228295,1.1330747737136249
2012-09-30,"{""MOM"",""EU""}",6.857578740970816e-17,Global Minimum Variance portfolio,0.18627526941904832,1.146829178822969
