TIME_PERIOD,Portfolio,Region,Return_EUR,Return_RF_EU
2020-11-30,Market_Return,EU,13.931895946066893,-0.050388654554433865
2020-11-30,Small Cap,EU,16.439673225968175,-0.050388654554433865
2020-11-30,Market_Return,US,9.680205695845402,-0.050388654554433865
2020-11-30,Tech Stocks,US,7.508330550918188,-0.050388654554433865
2020-11-30,BIG HiPRIOR,EU,7.273979966611009,-0.050388654554433865
2020-11-30,BIG LoPRIOR,EU,26.87154757929882,-0.050388654554433865
2020-11-30,ME1 PRIOR2,EU,10.789238731218703,-0.050388654554433865
2020-11-30,ME2 PRIOR2,EU,10.271714524207013,-0.050388654554433865
2020-11-30,SMALL HiPRIOR,EU,10.847826377295476,-0.050388654554433865
2020-11-30,SMALL LoPRIOR,EU,27.164485809682787,-0.050388654554433865
2020-11-30,BIG HiPRIOR,US,7.508330550918188,-0.050388654554433865
2020-11-30,BIG LoPRIOR,US,23.11217362270449,-0.050388654554433865
2020-11-30,ME1 PRIOR2,US,14.14826377295492,-0.050388654554433865
2020-11-30,ME2 PRIOR2,US,11.043118530884797,-0.050388654554433865
2020-11-30,SMALL HiPRIOR,US,15.173547579298827,-0.050388654554433865
2020-11-30,SMALL LoPRIOR,US,24.088634390651066,-0.050388654554433865
2020-12-31,RF,US,-2.36168201450576,-0.055396132630974204
2020-12-31,RF,EU,-0.055396132630974204,-0.055396132630974204
2020-12-31,Market_Return,EU,3.1251667583286578,-0.055396132630974204
2020-12-31,Small Cap,US,6.35912309851975,-0.055396132630974204
2020-12-31,Market_Return,US,2.1508914874478746,-0.055396132630974204
2020-12-31,Tech Stocks,EU,3.4765055822671087,-0.055396132630974204
2020-12-31,Tech Stocks,US,1.5825116127454777,-0.055396132630974204
2020-12-31,Small Cap,EU,6.788962198492809,-0.055396132630974204
2020-12-31,BIG HiPRIOR,EU,3.4765055822671087,-0.055396132630974204
2020-12-31,BIG LoPRIOR,EU,2.5685600195582907,-0.055396132630974204
2020-12-31,ME1 PRIOR2,EU,5.52670523999673,-0.055396132630974204
2020-12-31,ME2 PRIOR2,EU,2.35377719827234,-0.055396132630974204
2020-12-31,SMALL HiPRIOR,EU,9.129198924293036,-0.055396132630974204
2020-12-31,SMALL LoPRIOR,EU,5.878168038464665,-0.055396132630974204
2020-12-31,BIG HiPRIOR,US,1.5825116127454777,-0.055396132630974204
2020-12-31,BIG LoPRIOR,US,3.7791541031700575,-0.055396132630974204
2020-12-31,ME1 PRIOR2,US,4.735913943443876,-0.055396132630974204
2020-12-31,ME2 PRIOR2,US,2.1682829435253694,-0.055396132630974204
2020-12-31,SMALL HiPRIOR,US,6.219867981419583,-0.055396132630974204
2020-12-31,SMALL LoPRIOR,US,8.64105614864313,-0.055396132630974204
2021-01-31,RF,US,1.1123928806855616,-0.04624611607378859
2021-01-31,RF,EU,-0.04624611607378859,-0.04624611607378859
2021-01-31,Tech Stocks,US,1.890958305866846,-0.04624611607378859
2021-01-31,Small Cap,EU,1.628841761869781,-0.04624611607378859
2021-01-31,Market_Return,EU,-0.15752027378701708,-0.04624611607378859
2021-01-31,Tech Stocks,EU,0.7281657877389591,-0.04624611607378859
2021-01-31,Market_Return,US,0.9703251723249079,-0.04624611607378859
2021-01-31,Small Cap,US,8.984089323783257,-0.04624611607378859
2021-01-31,BIG HiPRIOR,EU,0.7281657877389591,-0.04624611607378859
2021-01-31,BIG LoPRIOR,EU,-1.152524719841793,-0.04624611607378859
2021-01-31,ME1 PRIOR2,EU,1.6280660843770676,-0.04624611607378859
2021-01-31,ME2 PRIOR2,EU,-0.6065177982860916,-0.04624611607378859
2021-01-31,SMALL HiPRIOR,EU,3.286309327620316,-0.04624611607378859
2021-01-31,SMALL LoPRIOR,EU,0.3439386947923424,-0.04624611607378859
2021-01-31,BIG HiPRIOR,US,1.890958305866846,-0.04624611607378859
2021-01-31,BIG LoPRIOR,US,1.951625741595251,-0.04624611607378859
2021-01-31,ME1 PRIOR2,US,4.954663810151615,-0.04624611607378859
2021-01-31,ME2 PRIOR2,US,-1.860311470006593,-0.04624611607378859
2021-01-31,SMALL HiPRIOR,US,15.086125576796306,-0.04624611607378859
2021-01-31,SMALL LoPRIOR,US,6.309569874752796,-0.04624611607378859
2021-02-28,RF,US,0.12375216566289282,-0.043637976929376876
2021-02-28,RF,EU,-0.043637976929376876,-0.043637976929376876
