TIME_PERIOD,Portfolio,Historical return,Historical variance,Type
2024-06-30,Bounded efficient frontier,0.6896537183885239,14.181996546148453,l
2024-06-30,Bounded efficient frontier,0.6996537183885239,14.184223992118897,l
2024-06-30,Bounded efficient frontier,0.7096537183885239,14.190906333059981,l
2024-06-30,Bounded efficient frontier,0.7196537183885239,14.202043570125774,l
2024-06-30,Bounded efficient frontier,0.7296537183885239,14.217635698897713,l
2024-06-30,Bounded efficient frontier,0.7396537183885239,14.237682724412416,l
2024-06-30,Bounded efficient frontier,0.7496537183885239,14.262184646605688,l
2024-06-30,Bounded efficient frontier,0.7596537183885239,14.29114146160005,l
2024-06-30,Bounded efficient frontier,0.7696537183885239,14.324553166215871,l
2024-06-30,Bounded efficient frontier,0.7796537183885239,14.362419773069258,l
2024-06-30,Bounded efficient frontier,0.7896537183885239,14.40474127235632,l
2024-06-30,Bounded efficient frontier,0.799653718388524,14.451517665496226,l
2024-06-30,Bounded efficient frontier,0.809653718388524,14.502748955373393,l
2024-06-30,Bounded efficient frontier,0.819653718388524,14.5600741524488,l
2024-06-30,Bounded efficient frontier,0.829653718388524,14.626225834728508,l
2024-06-30,Bounded efficient frontier,0.839653718388524,14.701246169089918,l
2024-06-30,Bounded efficient frontier,0.849653718388524,14.785135144486791,l
2024-06-30,Bounded efficient frontier,0.859653718388524,14.877892761697199,l
2024-06-30,Bounded efficient frontier,0.869653718388524,14.979519023684464,l
2024-06-30,Bounded efficient frontier,0.879653718388524,15.090013936002363,l
2024-06-30,Bounded efficient frontier,0.889653718388524,15.209377480238704,l
2024-06-30,Bounded efficient frontier,0.899653718388524,15.336864131447971,l
2024-06-30,Bounded efficient frontier,0.909653718388524,15.470635211994837,l
2024-06-30,Bounded efficient frontier,0.919653718388524,15.61060557168849,l
2024-06-30,Bounded efficient frontier,0.9296537183885241,15.7567752099513,l
2024-06-30,Bounded efficient frontier,0.9396537183885241,15.909144126955047,l
2024-06-30,Bounded efficient frontier,0.9496537183885241,16.067712322611563,l
2024-06-30,Bounded efficient frontier,0.9596537183885241,16.232479796935138,l
2024-06-30,Bounded efficient frontier,0.9696537183885241,16.403446549554854,l
2024-06-30,Bounded efficient frontier,0.9796537183885241,16.5806125812129,l
2024-06-30,Bounded efficient frontier,0.9896537183885241,16.76397789185107,l
2024-06-30,Bounded efficient frontier,0.9996537183885241,16.953542481477122,l
2024-06-30,Bounded efficient frontier,1.0096537183885241,17.149306348545053,l
2024-06-30,Bounded efficient frontier,1.0196537183885241,17.351269495005695,l
2024-06-30,Bounded efficient frontier,1.0296537183885242,17.559431920180312,l
2024-06-30,Bounded efficient frontier,1.0396537183885242,17.773793624062996,l
2024-06-30,Bounded efficient frontier,1.0496537183885242,17.99435460664685,l
2024-06-30,Bounded efficient frontier,1.0596537183885242,18.22111486792899,l
2024-06-30,Bounded efficient frontier,1.0696537183885242,18.454074407902723,l
2024-06-30,Bounded efficient frontier,1.0796537183885242,18.693233227471765,l
2024-06-30,Bounded efficient frontier,1.0896537183885242,18.938591322555084,l
2024-06-30,Bounded efficient frontier,1.0996537183885242,19.190148731805156,l
2024-06-30,Bounded efficient frontier,1.1096537183885242,19.480860718326696,l
2024-06-30,Bounded efficient frontier,1.1196537183885242,19.85895181937589,l
